code,system
L40.5,conceptcd
L40.50,conceptcd
L40.51,conceptcd
L40.54,conceptcd
L40.59,conceptcd
696,conceptcd
M06.4,conceptcd
714,conceptcd
L40.52,conceptcd
L40.53,conceptcd
M05,conceptcd
M05.8,conceptcd
M05.84,conceptcd
M05.842,conceptcd
M05.85,conceptcd
M05.852,conceptcd
M05.86,conceptcd
M05.862,conceptcd
M06.0,conceptcd
M06.04,conceptcd
M06.042,conceptcd
M06.05,conceptcd
M06.052,conceptcd
M06.06,conceptcd
M06.062,conceptcd
15205-8,conceptcd
M05.0,conceptcd
M05.01,conceptcd
M05.011,conceptcd
M05.012,conceptcd
M05.02,conceptcd
M05.021,conceptcd
M05.022,conceptcd
M05.03,conceptcd
M05.031,conceptcd
M05.032,conceptcd
M05.04,conceptcd
M05.041,conceptcd
M05.042,conceptcd
M05.05,conceptcd
M05.051,conceptcd
M05.052,conceptcd
M05.06,conceptcd
M05.061,conceptcd
M05.062,conceptcd
M05.07,conceptcd
M05.071,conceptcd
M05.072,conceptcd
714.1,conceptcd
M05.00,conceptcd
M05.019,conceptcd
M05.029,conceptcd
M05.039,conceptcd
M05.049,conceptcd
M05.059,conceptcd
M05.069,conceptcd
M05.079,conceptcd
M05.10,conceptcd
M05.119,conceptcd
M05.129,conceptcd
M05.139,conceptcd
M05.149,conceptcd
M05.159,conceptcd
M05.169,conceptcd
M05.179,conceptcd
M05.80,conceptcd
M05.819,conceptcd
M05.829,conceptcd
M05.839,conceptcd
M05.849,conceptcd
M05.859,conceptcd
M05.869,conceptcd
M05.879,conceptcd
M05.9,conceptcd
M06.00,conceptcd
M06.019,conceptcd
M06.029,conceptcd
M06.039,conceptcd
M06.049,conceptcd
M06.059,conceptcd
M06.069,conceptcd
M06.079,conceptcd
M06.20,conceptcd
M06.219,conceptcd
M06.229,conceptcd
M06.239,conceptcd
M06.249,conceptcd
M06.259,conceptcd
M06.269,conceptcd
M06.279,conceptcd
M06.30,conceptcd
M06.319,conceptcd
M06.329,conceptcd
M06.339,conceptcd
M06.349,conceptcd
M06.359,conceptcd
M06.369,conceptcd
M06.379,conceptcd
M06.8,conceptcd
M06.80,conceptcd
M06.81,conceptcd
M06.811,conceptcd
M06.812,conceptcd
M06.819,conceptcd
M06.82,conceptcd
M06.821,conceptcd
M06.822,conceptcd
M06.829,conceptcd
M06.83,conceptcd
M06.831,conceptcd
M06.832,conceptcd
M06.839,conceptcd
M06.84,conceptcd
M06.841,conceptcd
M06.842,conceptcd
M06.849,conceptcd
M06.85,conceptcd
M06.851,conceptcd
M06.852,conceptcd
M06.859,conceptcd
M06.86,conceptcd
M06.861,conceptcd
M06.862,conceptcd
M06.869,conceptcd
M06.87,conceptcd
M06.871,conceptcd
M06.872,conceptcd
M06.879,conceptcd
M06.9,conceptcd
M05.09,conceptcd
M05.19,conceptcd
M05.29,conceptcd
M05.39,conceptcd
M05.49,conceptcd
M05.59,conceptcd
M05.89,conceptcd
M06.09,conceptcd
M06.29,conceptcd
M06.39,conceptcd
M06.89,conceptcd
M05.1,conceptcd
M05.14,conceptcd
M05.142,conceptcd
M05.15,conceptcd
M05.152,conceptcd
M05.16,conceptcd
M05.162,conceptcd
M06.1,conceptcd
710,conceptcd
M05.11,conceptcd
M05.111,conceptcd
M05.112,conceptcd
M05.81,conceptcd
M05.811,conceptcd
M05.812,conceptcd
M06.01,conceptcd
M06.011,conceptcd
M06.012,conceptcd
M05.12,conceptcd
M05.121,conceptcd
M05.122,conceptcd
M05.82,conceptcd
M05.821,conceptcd
M05.822,conceptcd
M06.02,conceptcd
M06.021,conceptcd
M06.022,conceptcd
M05.13,conceptcd
M05.131,conceptcd
M05.132,conceptcd
M05.83,conceptcd
M05.831,conceptcd
M05.832,conceptcd
M06.03,conceptcd
M06.031,conceptcd
M06.032,conceptcd
M05.141,conceptcd
M05.151,conceptcd
M05.161,conceptcd
M05.841,conceptcd
M05.851,conceptcd
M05.861,conceptcd
M06.041,conceptcd
M06.051,conceptcd
M06.061,conceptcd
M05.17,conceptcd
M05.171,conceptcd
M05.172,conceptcd
M05.87,conceptcd
M05.871,conceptcd
M05.872,conceptcd
M06.07,conceptcd
M06.071,conceptcd
M06.072,conceptcd
M05.2,conceptcd
M05.20,conceptcd
M05.21,conceptcd
M05.211,conceptcd
M05.212,conceptcd
M05.219,conceptcd
M05.22,conceptcd
M05.221,conceptcd
M05.222,conceptcd
M05.229,conceptcd
M05.23,conceptcd
M05.231,conceptcd
M05.232,conceptcd
M05.239,conceptcd
M05.24,conceptcd
M05.241,conceptcd
M05.242,conceptcd
M05.249,conceptcd
M05.25,conceptcd
M05.251,conceptcd
M05.252,conceptcd
M05.259,conceptcd
M05.26,conceptcd
M05.261,conceptcd
M05.262,conceptcd
M05.269,conceptcd
M05.27,conceptcd
M05.271,conceptcd
M05.272,conceptcd
M05.279,conceptcd
M05.3,conceptcd
M05.30,conceptcd
M05.31,conceptcd
M05.311,conceptcd
M05.312,conceptcd
M05.319,conceptcd
M05.32,conceptcd
M05.321,conceptcd
M05.322,conceptcd
M05.329,conceptcd
M05.33,conceptcd
M05.331,conceptcd
M05.332,conceptcd
M05.339,conceptcd
M05.34,conceptcd
M05.341,conceptcd
M05.342,conceptcd
M05.349,conceptcd
M05.35,conceptcd
M05.351,conceptcd
M05.352,conceptcd
M05.359,conceptcd
M05.36,conceptcd
M05.361,conceptcd
M05.362,conceptcd
M05.369,conceptcd
M05.37,conceptcd
M05.371,conceptcd
M05.372,conceptcd
M05.379,conceptcd
M05.4,conceptcd
M05.40,conceptcd
M05.41,conceptcd
M05.411,conceptcd
M05.412,conceptcd
M05.419,conceptcd
M05.42,conceptcd
M05.421,conceptcd
M05.422,conceptcd
M05.429,conceptcd
M05.43,conceptcd
M05.431,conceptcd
M05.432,conceptcd
M05.439,conceptcd
M05.44,conceptcd
M05.441,conceptcd
M05.442,conceptcd
M05.449,conceptcd
M05.45,conceptcd
M05.451,conceptcd
M05.452,conceptcd
M05.459,conceptcd
M05.46,conceptcd
M05.461,conceptcd
M05.462,conceptcd
M05.469,conceptcd
M05.47,conceptcd
M05.471,conceptcd
M05.472,conceptcd
M05.479,conceptcd
M05.5,conceptcd
M05.50,conceptcd
M05.51,conceptcd
M05.511,conceptcd
M05.512,conceptcd
M05.519,conceptcd
M05.52,conceptcd
M05.521,conceptcd
M05.522,conceptcd
M05.529,conceptcd
M05.53,conceptcd
M05.531,conceptcd
M05.532,conceptcd
M05.539,conceptcd
M05.54,conceptcd
M05.541,conceptcd
M05.542,conceptcd
M05.549,conceptcd
M05.55,conceptcd
M05.551,conceptcd
M05.552,conceptcd
M05.559,conceptcd
M05.56,conceptcd
M05.561,conceptcd
M05.562,conceptcd
M05.569,conceptcd
M05.57,conceptcd
M05.571,conceptcd
M05.572,conceptcd
M05.579,conceptcd
M05.6,conceptcd
M05.60,conceptcd
M05.61,conceptcd
M05.611,conceptcd
M05.612,conceptcd
M05.619,conceptcd
M05.62,conceptcd
M05.621,conceptcd
M05.622,conceptcd
M05.629,conceptcd
M05.63,conceptcd
M05.631,conceptcd
M05.632,conceptcd
M05.639,conceptcd
M05.64,conceptcd
M05.641,conceptcd
M05.642,conceptcd
M05.649,conceptcd
M05.65,conceptcd
M05.651,conceptcd
M05.652,conceptcd
M05.659,conceptcd
M05.66,conceptcd
M05.661,conceptcd
M05.662,conceptcd
M05.669,conceptcd
M05.67,conceptcd
M05.671,conceptcd
M05.672,conceptcd
M05.679,conceptcd
M05.69,conceptcd
M05.7,conceptcd
M05.70,conceptcd
M05.71,conceptcd
M05.711,conceptcd
M05.712,conceptcd
M05.719,conceptcd
M05.72,conceptcd
M05.721,conceptcd
M05.722,conceptcd
M05.729,conceptcd
M05.73,conceptcd
M05.731,conceptcd
M05.732,conceptcd
M05.739,conceptcd
M05.74,conceptcd
M05.741,conceptcd
M05.742,conceptcd
M05.749,conceptcd
M05.75,conceptcd
M05.751,conceptcd
M05.752,conceptcd
M05.759,conceptcd
M05.76,conceptcd
M05.761,conceptcd
M05.762,conceptcd
M05.769,conceptcd
M05.77,conceptcd
M05.771,conceptcd
